variable,variable_transformed,variable_transformation,level,coef,random_effect_sd
intercept,,,,18.2897831823332,
donor_age,donor_age_over_65,over_65,,-0.0579942559294388,
donor_age,donor_age_over_75,over_75,,-0.0382982855992495,
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.443967738285254,
donor_last_creat,donor_last_creat_over_1,over_1,,-0.449148493577617,
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,0.186557802169415,
donor_last_creat,donor_last_creat_over_3p5,over_3p5,,0.779602126558091,
donor_diabetes,,,1,-0.488603219353662,
d_bloodgroup,,,AB,0.84155286635911,
d_bloodgroup,,,B,0.0573543300509666,
d_bloodgroup,,,O,-0.443558333154637,
donor_malignancy,,,1,0.00285464530356424,
graft_hbcab,,,1,0.305431273412308,
donor_carrest,,,1,-0.202719485338464,
death_cause_group,,,CNS tumor,17.0211203155649,
death_cause_group,,,CVA,0.0864054555779167,
death_cause_group,,,Head trauma,0.115179134318819,
death_cause_group,,,Other,0.168617942896723,
driving_time,,,"",0.0391404978022929,
d_cmv,,,1,0.00633425686422288,
d_urine_protein,,,1,-0.140019787226909,
d_urine_protein,,,2,-0.113479378751793,
d_urine_protein,,,3,-0.281940317231528,
k_previous_center_rejections,,,1,-0.246048259136075,
k_previous_center_rejections,,,2,0.0296176743062662,
k_previous_center_rejections,,,3,0.323488360464855,
k_previous_center_rejections,,,4+,1.01095740151059,
patient_country,,,Austria:donor_hypertension-0,-14.9951885629428,
patient_country,,,Belgium:donor_hypertension-0,-17.0357921013257,
patient_country,,,Croatia:donor_hypertension-0,-15.1777207452029,
patient_country,,,Germany:donor_hypertension-0,-15.6703025131238,
patient_country,,,Hungary:donor_hypertension-0,-17.8632711207188,
patient_country,,,Netherlands:donor_hypertension-0,-17.0521007478453,
patient_country,,,Slovenia:donor_hypertension-0,1.56215957779935,
patient_country,,,Austria:donor_hypertension-1,-15.4345509731616,
patient_country,,,Belgium:donor_hypertension-1,-17.2863765192988,
patient_country,,,Croatia:donor_hypertension-1,-15.173566197078,
patient_country,,,Germany:donor_hypertension-1,-15.6936404555419,
patient_country,,,Hungary:donor_hypertension-1,-17.5753057516591,
patient_country,,,Netherlands:donor_hypertension-1,-17.0708223676666,
patient_country,,,Austria:rescue-1,-2.50907968496373,
patient_country,,,Belgium:rescue-1,-4.23117108348012,
patient_country,,,Croatia:rescue-1,-5.53992700830603,
patient_country,,,Germany:rescue-1,-4.43581049702033,
patient_country,,,Hungary:rescue-1,-5.27768950113673,
patient_country,,,Netherlands:rescue-1,-3.68573394587955,
patient_country,,,Slovenia:rescue-1,-20.5032952328188,
patient_country,,,Austria:nonlocal_dcd_donor-1,-15.5905261026978,
patient_country,,,Belgium:nonlocal_dcd_donor-1,-14.2640041900124,
patient_country,,,Netherlands:nonlocal_dcd_donor-1,1.21038457842551,
patient_country,,,Austria:distance-I,-2.47639380205491,
patient_country,,,Belgium:distance-I,-0.276336154571418,
patient_country,,,Croatia:distance-I,-1.56400644775989,
patient_country,,,Germany:distance-I,0.0759185355332145,
patient_country,,,Hungary:distance-I,0.658374712156496,
patient_country,,,Netherlands:distance-I,-0.919095417181508,
patient_country,,,Slovenia:distance-I,-0.374499339693663,
patient_country,,,Austria:distance-N,-1.60786417590498,
patient_country,,,Belgium:distance-N,-0.683062013238495,
patient_country,,,Germany:distance-N,-0.239395358310111,
id_donor,,,,,0.402762712146716
recipient_center,,,,,0.686834846605206
