variable,variable_transformed,variable_transformation,level,coef
intercept,,,,-6.3412561398364
donor_age,donor_age_under_16,under_16,,0.807597936956071
donor_age,donor_age_over_50,over_50,,-0.0463580824774446
donor_age,,,"",0.0850606591293775
donor_age,donor_age_over_65,over_65,,0.112678315338695
donor_age,donor_age_over_75,over_75,,0.045663127750904
r_match_age,,,"",-0.00170622624592673
r_match_age,r_match_age_under_8,under_8,,-0.110141735425318
r_match_age,r_match_age_under_16,under_16,,-0.360268675719666
r_match_age,r_match_age_under_20,under_20,,0.142471936331611
r_match_age,r_match_age_over_75,over_75,,0.120706734320416
patient_country,,,Belgium,-0.732752979596842
patient_country,,,Croatia,-14.9921376035251
patient_country,,,Germany,-1.68928577243111
patient_country,,,Hungary,-1.56566814894152
patient_country,,,Netherlands,-0.831684444984492
patient_country,,,Slovenia,-15.7666554184061
acceptance_reason,,,T1:donor_age_75p-0,-3.00394806693696
acceptance_reason,,,T3:donor_age_75p-0,-0.53963793570069
acceptance_reason,,,T1:donor_age_75p-1,-2.78695982724303
