variable,variable_transformed,variable_transformation,level,coef,random_effect_sd
intercept,,,,13.1546123642678,
retransplant,,,1,-0.829079452111092,
vpra_percent,,,"",-0.0277025257658291,
vpra_percent,vpra_percent_over_25,over_25,,0.0201960461185338,
vpra_percent,vpra_percent_over_50,over_50,,-0.00604745332881477,
vpra_percent,vpra_percent_over_85,over_85,,-0.0842401166157201,
r_match_age,,,"",-0.0493434733006674,
r_match_age,r_match_age_under_75,under_75,,-0.109210533768441,
r_match_age,r_match_age_over_80,over_80,,0.245822865418101,
r_age_group,,,50_to_64,3.21555348021407,
r_age_group,,,65p,0.724918195758012,
r_age_group,,,lt18,-10,
d_bloodgroup,,,AB,-0.528890751588894,
d_bloodgroup,,,B,-0.0540325127852325,
d_bloodgroup,,,O,0.093511515730468,
donor_malignancy,,,1,0.340897568878188,
donor_diabetes,,,1,-0.454460612399619,
donor_hypertension,,,1,-0.145336244736438,
donor_age,,,"",-0.0917209721410846,
death_cause_group,,,CNS tumor,-0.618723602901595,
death_cause_group,,,CVA,0.140863262653769,
death_cause_group,,,Head trauma,0.262538591527012,
death_cause_group,,,Other,-0.187186066520448,
donor_last_creat,donor_last_creat_over_0p5,over_0p5,,-0.442729449465591,
donor_last_creat,donor_last_creat_over_1,over_1,,-0.452082716860805,
donor_last_creat,donor_last_creat_over_1p5,over_1p5,,-0.325576580730591,
donor_last_creat,donor_last_creat_over_3,over_3,,1.18025902575448,
graft_dcd,,,1,0.203323382221097,
zero_mismatch,,,1,1.5832557795322,
mms_hla_dr,,,1,-0.11357266219274,
mms_hla_dr,,,2,-0.362392395042986,
years_on_dial,,,"",-0.137845119974289,
on_dialysis,,,"",0.611971103032254,
graft_hbcab,,,1,-0.0919816951575559,
donor_smoking,,,1,-0.168781452170605,
d_cmv,,,1,-0.110150043995335,
d_urine_protein,,,1,-0.0531550601621728,
d_urine_protein,,,2,-0.0384292984040586,
d_urine_protein,,,3,-0.691294896374327,
patient_country,,,Austria:rescue-0,-2.66838938247816,
patient_country,,,Belgium:rescue-0,-4.69449732405161,
patient_country,,,Croatia:rescue-0,-4.4450683862702,
patient_country,,,Germany:rescue-0,-2.46648680017928,
patient_country,,,Hungary:rescue-0,-4.29556282633432,
patient_country,,,Netherlands:rescue-0,-3.43863631506194,
patient_country,,,Slovenia:rescue-0,-1.95477778615355,
patient_country,,,Austria:rescue-1,-6.39878399429352,
patient_country,,,Belgium:rescue-1,-9.82038754382756,
patient_country,,,Croatia:rescue-1,-7.12342630215969,
patient_country,,,Germany:rescue-1,-6.2995478356129,
patient_country,,,Hungary:rescue-1,-8.5125699823395,
patient_country,,,Netherlands:rescue-1,-21.1691215825241,
patient_country,,,Austria:distance-I,3.59126080203418,
patient_country,,,Belgium:distance-I,-7.8066863472865,
patient_country,,,Croatia:distance-I,4.97858941204022,
patient_country,,,Germany:distance-I,1.65166865666899,
patient_country,,,Hungary:distance-I,2.96183261859027,
patient_country,,,Netherlands:distance-I,18.1565667440942,
patient_country,,,Austria:distance-N,1.39465261492494,
patient_country,,,Belgium:distance-N,-0.652802418837474,
patient_country,,,Germany:distance-N,3.42554728810707,
id_registration,,,,,0.537898151376069
id_donor,,,,,0.888349928080078
recipient_center,,,,,0.59808298509423
