region,type_offer,centers
Austria,DBD,AGATP;AIBTP;AOETP;AWGTP;COSTP;CRITP;CSPTP;CZATP;CZMTP;GAUTP;GMHTP;GNBTP;GRBTP;GSTTP;HBSTP;HDBTP;HPCTP;HSZTP;SLOTP
Austria,DCD,AGATP;AIBTP;AOETP;AWGTP;NAMTP;NAWTP;NGRTP;NLBTP;NMSTP;NNYTP;NRDTP;NUTTP
Belgium,DBD,BANTP;BBJTP;BBRTP;BGETP;BLATP;BLGTP;BLMTP;GAKTP;GBBTP;GDUTP;GKLTP;GKMTP;NAMTP;NLBTP;NUTTP
Belgium,DCD,BANTP;BBJTP;BBRTP;BGETP;BLATP;BLGTP;BLMTP;NAMTP;NAWTP;NGRTP;NLBTP;NMSTP;NNYTP;NRDTP;NUTTP
Croatia,DBD,COSTP;CRITP;CSPTP;CZATP;CZMTP;AGATP;AIBTP;GAUTP;GMHTP;GNBTP;GRBTP;HBSTP;HDBTP;HPCTP;HSZTP;SLOTP
GBW,DBD,GFRTP;GHBTP;GMATP;GSTTP;GTUTP;GAUTP;GFMTP;GKSTP;GMHTP;GMZTP;GNBTP;GRBTP;GWZTP
GBY,DBD,GAUTP;GMHTP;GMLTP;GNBTP;GRBTP;GWZTP;AGATP;AIBTP;GFMTP;GHBTP;GMATP;GSTTP;GTUTP;HBSTP;HDBTP;HPCTP;HSZTP;SLOTP
GMI,DBD,GFDTP;GFMTP;GGITP;GHSTP;GKSTP;GMRTP;GMZTP;BANTP;BLATP;BLMTP;GBBTP;GDUTP;GESTP;GHBTP;GHMTP;GMATP;GMHTP;GNBTP;GSTTP;GTUTP
GND,DBD,GBMTP;GGOTP;GHGTP;GHMTP;GHOTP;GKITP;GLUTP;GAKTP;GBCTP;GHATP;GJETP;GKLTP;GKMTP;GKSTP;GMHTP;GMNTP;GMRTP
GNO,DBD,GBCTP;GROTP;GGOTP;GHATP;GHGTP;GHOTP;GJETP;GKITP;GLPTP;GLUTP;GMHTP
GNW,DBD,GAKTP;GBBTP;GBOTP;GDUTP;GESTP;GKLTP;GKMTP;GMNTP;BANTP;BLATP;BLGTP;BLMTP;GMHTP;GMRTP;GMZTP;NAMTP;NLBTP
GOS,DBD,GDRTP;GHATP;GJETP;GLPTP;GBCTP;GGOTP;GHGTP;GHMTP;GHOTP;GKITP;GLUTP;GMRTP;GWZTP
Hungary,DBD,HBSTP;HDBTP;HPCTP;HSZTP;AGATP;AIBTP;COSTP;CRITP;CSPTP;CZATP;CZMTP;GAUTP;GMHTP;GNBTP;GRBTP;SLOTP
Luxembourg,DBD,BANTP;BBJTP;BBRTP;BGETP;BLATP;BLGTP;BLMTP;GAKTP;GBBTP;GDUTP;GKLTP;GKMTP;NAMTP;NLBTP
Luxembourg,DCD,BANTP;BBJTP;BBRTP;BGETP;BLATP;BLGTP;BLMTP;NAMTP;NAWTP;NGRTP;NLBTP;NMSTP;NNYTP;NRDTP;NUTTP
Netherlands,DBD,NAMTP;NGRTP;NLBTP;NMSTP;NNYTP;NRDTP;NUTTP;BANTP;BLATP;BLGTP;BLMTP;GAKTP;GBBTP;GDUTP;GESTP;GGOTP;GKLTP;GKMTP;GMNTP
Netherlands,DCD,NAMTP;NGRTP;NLBTP;NMSTP;NNYTP;NRDTP;NUTTP;AGATP;AIBTP;BANTP;BGETP;BLATP;BLGTP;BLMTP
Slovenia,DBD,SLOTP;AGATP;AIBTP;COSTP;CRITP;CSPTP;CZATP;CZMTP;GAUTP;GMHTP;GNBTP;GRBTP
Slovenia,DCD,SLOTP;AGATP;AIBTP
