driving_distance,from_center,to_center
0,AGATP,AGATP
1154.32,AGATP,BGETP
472.83,AGATP,GAUTP
952.39,AGATP,GESTP
821.09,AGATP,GHSTP
399.53,AGATP,GMHTP
736.26,AGATP,GOSOR
338.59,AGATP,HUNOR
1160.02,AGATP,NRSTP
463.02,AGATP,AIBTP
1096.86,AGATP,BLATP
943.53,AGATP,GBBTP
697.12,AGATP,GFDTP
676.08,AGATP,GJETP
749.26,AGATP,GMIOR
941.6,AGATP,LLXTP
1109.85,AGATP,NUTTP
1109.85,AGATP,NUWTP
141.72,AGATP,AKTTP
1078.16,AGATP,BLETP
1078.16,AGATP,BLMTP
876.04,AGATP,GBCTP
713.53,AGATP,GFMTP
1191.82,AGATP,GKITP
395.08,AGATP,GMLTP
1078.85,AGATP,GROTP
1138.17,AGATP,NAETP
197.78,AGATP,SLOTP
220.82,AGATP,AOETP
1024.72,AGATP,BLGTP
867.93,AGATP,GBETP
809.73,AGATP,GFRTP
897.72,AGATP,GKKTP
996.38,AGATP,GMNTP
619.81,AGATP,GSTTP
1146.65,AGATP,NAVTP
221.99,AGATP,AOLTP
192.43,AGATP,CHROR
1063.85,AGATP,GBMTP
769.58,AGATP,GGITP
897.72,AGATP,GKLTP
804.81,AGATP,GMRTP
647.27,AGATP,GTUTP
1145.18,AGATP,NAMTP
1145.18,AGATP,NAWTP
191.06,AGATP,AWDTP
474.28,AGATP,COSTP
885.77,AGATP,GBOTP
742.26,AGATP,GHATP
892.45,AGATP,GKMTP
748.23,AGATP,GMZTP
598.33,AGATP,GWZTP
1151.19,AGATP,NGRTP
195.38,AGATP,AWGTP
314.97,AGATP,CRITP
621.33,AGATP,GBWOR
708.44,AGATP,GHBTP
780.74,AGATP,GKSTP
512.84,AGATP,GNBTP
342.15,AGATP,HBSTP
1161.32,AGATP,NLBTP
1103.68,AGATP,BANTP
190.54,AGATP,CZATP
395.08,AGATP,GBYOR
1106.68,AGATP,GHGTP
739.2,AGATP,GLPTP
954.5,AGATP,GNDOR
595.43,AGATP,HDBTP
998.04,AGATP,NMSTP
193.52,AGATP,CZMTP
666.66,AGATP,GDRTP
815.52,AGATP,GHMTP
1130.58,AGATP,GLUTP
875.25,AGATP,GNOOR
330.55,AGATP,HPCTP
1047.47,AGATP,NNYTP
1119.21,AGATP,BBRTP
968.27,AGATP,GAKTP
930.55,AGATP,GDUTP
958.19,AGATP,GHOTP
717.52,AGATP,GMATP
953.88,AGATP,GNWOR
509.82,AGATP,HSZTP
1161.89,AGATP,NRDTP
1155.52,BGETP,AGATP
0,BGETP,BGETP
725.77,BGETP,GAUTP
250.94,BGETP,GESTP
397.34,BGETP,GHSTP
802.42,BGETP,GMHTP
705.54,BGETP,GOSOR
1402.87,BGETP,HUNOR
157.53,BGETP,NRSTP
886.83,BGETP,AIBTP
66.38,BGETP,BLATP
268.71,BGETP,GBBTP
550.9,BGETP,GFDTP
634,BGETP,GJETP
431.32,BGETP,GMIOR
270.44,BGETP,LLXTP
183.33,BGETP,NUTTP
183.33,BGETP,NUWTP
1151.59,BGETP,AKTTP
81.44,BGETP,BLETP
81.44,BGETP,BLMTP
775.4,BGETP,GBCTP
449.57,BGETP,GFMTP
699.84,BGETP,GKITP
789.51,BGETP,GMLTP
787.52,BGETP,GROTP
207.95,BGETP,NAETP
1217.53,BGETP,SLOTP
992.88,BGETP,AOETP
159.68,BGETP,BLGTP
766.84,BGETP,GBETP
577.84,BGETP,GFRTP
257.97,BGETP,GKKTP
344.19,BGETP,GMNTP
579.6,BGETP,GSTTP
216.42,BGETP,NAVTP
994.05,BGETP,AOLTP
1336.97,BGETP,CHROR
505.86,BGETP,GBMTP
422.91,BGETP,GGITP
257.97,BGETP,GKLTP
459.33,BGETP,GMRTP
614.34,BGETP,GTUTP
216.39,BGETP,NAMTP
216.39,BGETP,NAWTP
1154.35,BGETP,AWDTP
1618.82,BGETP,COSTP
286.77,BGETP,GBOTP
660.96,BGETP,GHATP
271.8,BGETP,GKMTP
429.19,BGETP,GMZTP
563.04,BGETP,GWZTP
366.96,BGETP,NGRTP
1156.1,BGETP,AWGTP
1317.9,BGETP,CRITP
604.51,BGETP,GBWOR
499.01,BGETP,GHBTP
418.69,BGETP,GKSTP
645.42,BGETP,GNBTP
1406.44,BGETP,HBSTP
198.81,BGETP,NLBTP
62.5,BGETP,BANTP
1335.08,BGETP,CZATP
789.51,BGETP,GBYOR
614.7,BGETP,GHGTP
702.18,BGETP,GLPTP
499.3,BGETP,GNDOR
1659.72,BGETP,HDBTP
180.67,BGETP,NMSTP
1338.06,BGETP,CZMTP
805.62,BGETP,GDRTP
474.75,BGETP,GHMTP
672.37,BGETP,GLUTP
774.6,BGETP,GNOOR
1475.09,BGETP,HPCTP
199.72,BGETP,NNYTP
53.37,BGETP,BBRTP
196.68,BGETP,GAKTP
250.96,BGETP,GDUTP
509.46,BGETP,GHOTP
480.46,BGETP,GMATP
252.88,BGETP,GNWOR
1574.1,BGETP,HSZTP
153.79,BGETP,NRDTP
473.04,GAUTP,AGATP
724.82,GAUTP,BGETP
0,GAUTP,GAUTP
571.92,GAUTP,GESTP
336.54,GAUTP,GHSTP
85.03,GAUTP,GMHTP
416.51,GAUTP,GOSOR
720.39,GAUTP,HUNOR
780.02,GAUTP,NRSTP
181.44,GAUTP,AIBTP
661.64,GAUTP,BLATP
586.48,GAUTP,GBBTP
336.54,GAUTP,GFDTP
356.33,GAUTP,GJETP
356.92,GAUTP,GMIOR
459.15,GAUTP,LLXTP
729.84,GAUTP,NUTTP
729.84,GAUTP,NUWTP
434.2,GAUTP,AKTTP
662.22,GAUTP,BLETP
662.22,GAUTP,BLMTP
565.66,GAUTP,GBCTP
352.39,GAUTP,GFMTP
835.7,GAUTP,GKITP
72.12,GAUTP,GMLTP
759.09,GAUTP,GROTP
758.17,GAUTP,NAETP
500.14,GAUTP,SLOTP
310.41,GAUTP,AOETP
588.13,GAUTP,BLGTP
556.72,GAUTP,GBETP
346.23,GAUTP,GFRTP
517.72,GAUTP,GKKTP
635.81,GAUTP,GMNTP
156.31,GAUTP,GSTTP
766.64,GAUTP,NAVTP
311.57,GAUTP,AOLTP
635.09,GAUTP,CHROR
707.72,GAUTP,GBMTP
409.88,GAUTP,GGITP
517.72,GAUTP,GKLTP
445.12,GAUTP,GMRTP
183.77,GAUTP,GTUTP
765.18,GAUTP,NAMTP
765.18,GAUTP,NAWTP
471.87,GAUTP,AWDTP
916.09,GAUTP,COSTP
496,GAUTP,GBOTP
422.51,GAUTP,GHATP
512.45,GAUTP,GKMTP
355.88,GAUTP,GMZTP
239.17,GAUTP,GWZTP
814.72,GAUTP,NGRTP
473.62,GAUTP,AWGTP
600.51,GAUTP,CRITP
157.83,GAUTP,GBWOR
272.78,GAUTP,GHBTP
312.06,GAUTP,GKSTP
166.06,GAUTP,GNBTP
723.96,GAUTP,HBSTP
781.31,GAUTP,NLBTP
698.34,GAUTP,BANTP
632.05,GAUTP,CZATP
72.12,GAUTP,GBYOR
750.56,GAUTP,GHGTP
413.6,GAUTP,GLPTP
593.92,GAUTP,GNDOR
977.24,GAUTP,HDBTP
599.24,GAUTP,NMSTP
635.03,GAUTP,CZMTP
449.96,GAUTP,GDRTP
454.95,GAUTP,GHMTP
797.28,GAUTP,GLUTP
564.87,GAUTP,GNOOR
792.61,GAUTP,HPCTP
652.22,GAUTP,NNYTP
692.66,GAUTP,BBRTP
569.48,GAUTP,GAKTP
550.55,GAUTP,GDUTP
594.1,GAUTP,GHOTP
283.59,GAUTP,GMATP
573.87,GAUTP,GNWOR
891.62,GAUTP,HSZTP
758.65,GAUTP,NRDTP
953.57,GESTP,AGATP
250.83,GESTP,BGETP
573.14,GESTP,GAUTP
0,GESTP,GESTP
319.04,GESTP,GHSTP
