driving_time,from_center,to_center
0,AGATP,AGATP
11.57,AGATP,BGETP
5.21,AGATP,GAUTP
9.72,AGATP,GESTP
8.58,AGATP,GHSTP
4.47,AGATP,GMHTP
7.61,AGATP,GOSOR
3.68,AGATP,HUNOR
11.74,AGATP,NRSTP
5.29,AGATP,AIBTP
10.98,AGATP,BLATP
9.82,AGATP,GBBTP
7.25,AGATP,GFDTP
7.15,AGATP,GJETP
7.87,AGATP,GMIOR
9.66,AGATP,LLXTP
11.23,AGATP,NUTTP
11.23,AGATP,NUWTP
1.72,AGATP,AKTTP
10.8,AGATP,BLETP
10.8,AGATP,BLMTP
8.65,AGATP,GBCTP
7.64,AGATP,GFMTP
11.77,AGATP,GKITP
4.75,AGATP,GMLTP
10.57,AGATP,GROTP
11.52,AGATP,NAETP
2.12,AGATP,SLOTP
2.62,AGATP,AOETP
10.48,AGATP,BLGTP
8.56,AGATP,GBETP
8.34,AGATP,GFRTP
9.29,AGATP,GKKTP
10.1,AGATP,GMNTP
6.63,AGATP,GSTTP
11.61,AGATP,NAVTP
2.63,AGATP,AOLTP
2.33,AGATP,CHROR
10.56,AGATP,GBMTP
7.91,AGATP,GGITP
9.26,AGATP,GKLTP
8.24,AGATP,GMRTP
6.9,AGATP,GTUTP
11.58,AGATP,NAMTP
11.58,AGATP,NAWTP
2.22,AGATP,AWDTP
4.65,AGATP,COSTP
9.15,AGATP,GBOTP
7.67,AGATP,GHATP
9.13,AGATP,GKMTP
7.93,AGATP,GMZTP
6.51,AGATP,GWZTP
11.52,AGATP,NGRTP
2.26,AGATP,AWGTP
3.63,AGATP,CRITP
6.69,AGATP,GBWOR
7.53,AGATP,GHBTP
8.21,AGATP,GKSTP
5.52,AGATP,GNBTP
3.74,AGATP,HBSTP
11.87,AGATP,NLBTP
11.14,AGATP,BANTP
2.2,AGATP,CZATP
4.75,AGATP,GBYOR
11.05,AGATP,GHGTP
7.63,AGATP,GLPTP
9.61,AGATP,GNDOR
5.93,AGATP,HDBTP
10.12,AGATP,NMSTP
2.21,AGATP,CZMTP
6.75,AGATP,GDRTP
8.4,AGATP,GHMTP
11.2,AGATP,GLUTP
8.55,AGATP,GNOOR
4.02,AGATP,HPCTP
10.68,AGATP,NNYTP
11.29,AGATP,BBRTP
9.85,AGATP,GAKTP
9.52,AGATP,GDUTP
9.65,AGATP,GHOTP
7.58,AGATP,GMATP
9.79,AGATP,GNWOR
5.25,AGATP,HSZTP
11.86,AGATP,NRDTP
11.35,BGETP,AGATP
0,BGETP,BGETP
7.25,BGETP,GAUTP
2.56,BGETP,GESTP
4.08,BGETP,GHSTP
8.1,BGETP,GMHTP
7.26,BGETP,GOSOR
13.16,BGETP,HUNOR
1.65,BGETP,NRSTP
9.12,BGETP,AIBTP
0.75,BGETP,BLATP
2.77,BGETP,GBBTP
5.35,BGETP,GFDTP
6.85,BGETP,GJETP
4.42,BGETP,GMIOR
2.8,BGETP,LLXTP
1.92,BGETP,NUTTP
1.92,BGETP,NUWTP
11.35,BGETP,AKTTP
0.9,BGETP,BLETP
0.9,BGETP,BLMTP
7.7,BGETP,GBCTP
4.42,BGETP,GFMTP
7.02,BGETP,GKITP
7.87,BGETP,GMLTP
7.69,BGETP,GROTP
2.17,BGETP,NAETP
12.93,BGETP,SLOTP
9.7,BGETP,AOETP
1.69,BGETP,BLGTP
7.67,BGETP,GBETP
6.01,BGETP,GFRTP
2.6,BGETP,GKKTP
3.54,BGETP,GMNTP
6.13,BGETP,GSTTP
2.24,BGETP,NAVTP
9.66,BGETP,AOLTP
13.09,BGETP,CHROR
5.21,BGETP,GBMTP
4.33,BGETP,GGITP
2.61,BGETP,GKLTP
4.7,BGETP,GMRTP
6.39,BGETP,GTUTP
2.29,BGETP,NAMTP
2.29,BGETP,NAWTP
11.13,BGETP,AWDTP
15.05,BGETP,COSTP
2.88,BGETP,GBOTP
6.93,BGETP,GHATP
2.7,BGETP,GKMTP
4.41,BGETP,GMZTP
5.54,BGETP,GWZTP
3.86,BGETP,NGRTP
11.19,BGETP,AWGTP
13.29,BGETP,CRITP
6.28,BGETP,GBWOR
5.18,BGETP,GHBTP
4.39,BGETP,GKSTP
6.48,BGETP,GNBTP
13.27,BGETP,HBSTP
2.11,BGETP,NLBTP
0.74,BGETP,BANTP
12.97,BGETP,CZATP
7.86,BGETP,GBYOR
6.34,BGETP,GHGTP
7.3,BGETP,GLPTP
5.12,BGETP,GNDOR
15.28,BGETP,HDBTP
1.79,BGETP,NMSTP
13.05,BGETP,CZMTP
8.25,BGETP,GDRTP
5.13,BGETP,GHMTP
6.75,BGETP,GLUTP
7.66,BGETP,GNOOR
14.72,BGETP,HPCTP
2.19,BGETP,NNYTP
0.61,BGETP,BBRTP
1.95,BGETP,GAKTP
2.57,BGETP,GDUTP
5.18,BGETP,GHOTP
5.03,BGETP,GMATP
2.58,BGETP,GNWOR
14.6,BGETP,HSZTP
1.68,BGETP,NRDTP
5.18,GAUTP,AGATP
7.57,GAUTP,BGETP
0,GAUTP,GAUTP
5.98,GAUTP,GESTP
3.74,GAUTP,GHSTP
0.99,GAUTP,GMHTP
4.67,GAUTP,GOSOR
7.33,GAUTP,HUNOR
8.1,GAUTP,NRSTP
2.57,GAUTP,AIBTP
6.9,GAUTP,BLATP
6.13,GAUTP,GBBTP
3.71,GAUTP,GFDTP
4.11,GAUTP,GJETP
3.8,GAUTP,GMIOR
4.9,GAUTP,LLXTP
7.59,GAUTP,NUTTP
7.59,GAUTP,NUWTP
4.66,GAUTP,AKTTP
6.79,GAUTP,BLETP
6.79,GAUTP,BLMTP
6.03,GAUTP,GBCTP
3.77,GAUTP,GFMTP
8.65,GAUTP,GKITP
0.88,GAUTP,GMLTP
7.76,GAUTP,GROTP
7.89,GAUTP,NAETP
5.28,GAUTP,SLOTP
3.36,GAUTP,AOETP
6.24,GAUTP,BLGTP
6.06,GAUTP,GBETP
3.75,GAUTP,GFRTP
5.49,GAUTP,GKKTP
6.93,GAUTP,GMNTP
1.74,GAUTP,GSTTP
7.93,GAUTP,NAVTP
3.37,GAUTP,AOLTP
6.69,GAUTP,CHROR
7.51,GAUTP,GBMTP
4.34,GAUTP,GGITP
5.55,GAUTP,GKLTP
4.67,GAUTP,GMRTP
2.05,GAUTP,GTUTP
8.06,GAUTP,NAMTP
8.06,GAUTP,NAWTP
4.97,GAUTP,AWDTP
8.6,GAUTP,COSTP
5.42,GAUTP,GBOTP
4.71,GAUTP,GHATP
5.38,GAUTP,GKMTP
3.78,GAUTP,GMZTP
2.65,GAUTP,GWZTP
8.25,GAUTP,NGRTP
5.04,GAUTP,AWGTP
6.61,GAUTP,CRITP
1.79,GAUTP,GBWOR
2.95,GAUTP,GHBTP
3.6,GAUTP,GKSTP
2.05,GAUTP,GNBTP
7.45,GAUTP,HBSTP
8.15,GAUTP,NLBTP
7.27,GAUTP,BANTP
6.58,GAUTP,CZATP
0.88,GAUTP,GBYOR
8.04,GAUTP,GHGTP
4.67,GAUTP,GLPTP
6.42,GAUTP,GNDOR
9.34,GAUTP,HDBTP
6.4,GAUTP,NMSTP
6.69,GAUTP,CZMTP
4.97,GAUTP,GDRTP
5.1,GAUTP,GHMTP
8.27,GAUTP,GLUTP
6,GAUTP,GNOOR
8.7,GAUTP,HPCTP
7.05,GAUTP,NNYTP
7.1,GAUTP,BBRTP
6.08,GAUTP,GAKTP
5.84,GAUTP,GDUTP
6.43,GAUTP,GHOTP
2.99,GAUTP,GMATP
6.06,GAUTP,GNWOR
8.66,GAUTP,HSZTP
8.21,GAUTP,NRDTP
9.83,GESTP,AGATP
2.61,GESTP,BGETP
5.74,GESTP,GAUTP
0,GESTP,GESTP
3.64,GESTP,GHSTP
6.59,GESTP,GMHTP
4.9,GESTP,GOSOR
11.64,GESTP,HUNOR
2.38,GESTP,NRSTP
7.53,GESTP,AIBTP
2.29,GESTP,BLATP
0.37,GESTP,GBBTP
3.37,GESTP,GFDTP
4.54,GESTP,GJETP
2.58,GESTP,GMIOR
3.06,GESTP,LLXTP
1.86,GESTP,NUTTP
1.86,GESTP,NUWTP
9.93,GESTP,AKTTP
2.11,GESTP,BLETP
2.11,GESTP,BLMTP
5.47,GESTP,GBCTP
2.61,GESTP,GFMTP
5,GESTP,GKITP
6.35,GESTP,GMLTP
5.71,GESTP,GROTP
2.13,GESTP,NAETP
10.57,GESTP,SLOTP
8.16,GESTP,AOETP
1.98,GESTP,BLGTP
5.54,GESTP,GBETP
5.03,GESTP,GFRTP
0.85,GESTP,GKKTP
1.25,GESTP,GMNTP
4.38,GESTP,GSTTP
2.22,GESTP,NAVTP
8.16,GESTP,AOLTP
11.62,GESTP,CHROR
2.99,GESTP,GBMTP
2.36,GESTP,GGITP
0.85,GESTP,GKLTP
2.77,GESTP,GMRTP
4.76,GESTP,GTUTP
2.21,GESTP,NAMTP
2.21,GESTP,NAWTP
9.59,GESTP,AWDTP
13.61,GESTP,COSTP
1.15,GESTP,GBOTP
4.53,GESTP,GHATP
0.75,GESTP,GKMTP
2.54,GESTP,GMZTP
3.81,GESTP,GWZTP
2.84,GESTP,NGRTP
9.67,GESTP,AWGTP
11.85,GESTP,CRITP
4.36,GESTP,GBWOR
3.19,GESTP,GHBTP
3.37,GESTP,GKSTP
4.76,GESTP,GNBTP
11.76,GESTP,HBSTP
2.49,GESTP,NLBTP
2.17,GESTP,BANTP
11.5,GESTP,CZATP
6.35,GESTP,GBYOR
4.18,GESTP,GHGTP
4.92,GESTP,GLPTP
2.8,GESTP,GNDOR
13.76,GESTP,HDBTP
1.47,GESTP,NMSTP
11.56,GESTP,CZMTP
5.92,GESTP,GDRTP
2.66,GESTP,GHMTP
4.75,GESTP,GLUTP
5.49,GESTP,GNOOR
13.24,GESTP,HPCTP
1.34,GESTP,NNYTP
2.52,GESTP,BBRTP
1.39,GESTP,GAKTP
0.6,GESTP,GDUTP
2.91,GESTP,GHOTP
3.09,GESTP,GMATP
0.15,GESTP,GNWOR
13.09,GESTP,HSZTP
2.47,GESTP,NRDTP
8.58,GHSTP,AGATP
4.26,GHSTP,BGETP
3.77,GHSTP,GAUTP
3.75,GHSTP,GESTP
0,GHSTP,GHSTP
4.51,GHSTP,GMHTP
5.75,GHSTP,GOSOR
10.44,GHSTP,HUNOR
4.99,GHSTP,NRSTP
5.62,GHSTP,AIBTP
3.65,GHSTP,BLATP
3.92,GHSTP,GBBTP
2.8,GHSTP,GFDTP
4.85,GHSTP,GJETP
1.32,GHSTP,GMIOR
1.57,GHSTP,LLXTP
4.82,GHSTP,NUTTP
4.82,GHSTP,NUWTP
7.98,GHSTP,AKTTP
3.8,GHSTP,BLETP
3.8,GHSTP,BLMTP
7.12,GHSTP,GBCTP
1.79,GHSTP,GFMTP
7.75,GHSTP,GKITP
4.39,GHSTP,GMLTP
8.29,GHSTP,GROTP
5.02,GHSTP,NAETP
8.63,GHSTP,SLOTP
6.98,GHSTP,AOETP
3.18,GHSTP,BLGTP
7.15,GHSTP,GBETP
2.64,GHSTP,GFRTP
3.08,GHSTP,GKKTP
4.65,GHSTP,GMNTP
2.38,GHSTP,GSTTP
5.09,GHSTP,NAVTP
6.97,GHSTP,AOLTP
9.96,GHSTP,CHROR
6.34,GHSTP,GBMTP
2.36,GHSTP,GGITP
3.08,GHSTP,GKLTP
2.74,GHSTP,GMRTP
2.67,GHSTP,GTUTP
5.15,GHSTP,NAMTP
5.15,GHSTP,NAWTP
8.37,GHSTP,AWDTP
11.98,GHSTP,COSTP
2.89,GHSTP,GBOTP
5.6,GHSTP,GHATP
3.18,GHSTP,GKMTP
1.36,GHSTP,GMZTP
2.95,GHSTP,GWZTP
6.14,GHSTP,NGRTP
8.42,GHSTP,AWGTP
9.93,GHSTP,CRITP
2.39,GHSTP,GBWOR
1.45,GHSTP,GHBTP
0.56,GHSTP,GKSTP
3.87,GHSTP,GNBTP
10.58,GHSTP,HBSTP
5.35,GHSTP,NLBTP
4.02,GHSTP,BANTP
9.87,GHSTP,CZATP
4.39,GHSTP,GBYOR
7.06,GHSTP,GHGTP
5.81,GHSTP,GLPTP
5.43,GHSTP,GNDOR
12.58,GHSTP,HDBTP
3.23,GHSTP,NMSTP
9.92,GHSTP,CZMTP
6.39,GHSTP,GDRTP
3.97,GHSTP,GHMTP
7.37,GHSTP,GLUTP
7.09,GHSTP,GNOOR
12,GHSTP,HPCTP
4.37,GHSTP,NNYTP
3.91,GHSTP,BBRTP
3.31,GHSTP,GAKTP
3.39,GHSTP,GDUTP
5.46,GHSTP,GHOTP
1.28,GHSTP,GMATP
3.77,GHSTP,GNWOR
11.9,GHSTP,HSZTP
4.98,GHSTP,NRDTP
4.44,GMHTP,AGATP
8.26,GMHTP,BGETP
0.9,GMHTP,GAUTP
6.59,GMHTP,GESTP
4.44,GMHTP,GHSTP
0,GMHTP,GMHTP
4.56,GMHTP,GOSOR
6.64,GMHTP,HUNOR
8.69,GMHTP,NRSTP
1.84,GMHTP,AIBTP
7.64,GMHTP,BLATP
6.78,GMHTP,GBBTP
4.04,GMHTP,GFDTP
3.99,GMHTP,GJETP
4.38,GMHTP,GMIOR
5.61,GMHTP,LLXTP
8.15,GMHTP,NUTTP
8.15,GMHTP,NUWTP
3.84,GMHTP,AKTTP
7.53,GMHTP,BLETP
7.53,GMHTP,BLMTP
5.91,GMHTP,GBCTP
4.31,GMHTP,GFMTP
8.87,GMHTP,GKITP
0.38,GMHTP,GMLTP
7.66,GMHTP,GROTP
8.44,GMHTP,NAETP
4.45,GMHTP,SLOTP
2.61,GMHTP,AOETP
6.94,GMHTP,BLGTP
5.98,GMHTP,GBETP
4.37,GMHTP,GFRTP
6.16,GMHTP,GKKTP
7.32,GMHTP,GMNTP
2.36,GMHTP,GSTTP
8.49,GMHTP,NAVTP
2.64,GMHTP,AOLTP
5.75,GMHTP,CHROR
7.7,GMHTP,GBMTP
4.8,GMHTP,GGITP
6.16,GMHTP,GKLTP
5.16,GMHTP,GMRTP
2.67,GMHTP,GTUTP
8.56,GMHTP,NAMTP
8.56,GMHTP,NAWTP
4.25,GMHTP,AWDTP
7.82,GMHTP,COSTP
5.97,GMHTP,GBOTP
4.63,GMHTP,GHATP
5.96,GMHTP,GKMTP
4.4,GMHTP,GMZTP
3.07,GMHTP,GWZTP
8.74,GMHTP,NGRTP
4.3,GMHTP,AWGTP
5.77,GMHTP,CRITP
2.41,GMHTP,GBWOR
3.56,GMHTP,GHBTP
4.28,GMHTP,GKSTP
2.03,GMHTP,GNBTP
6.7,GMHTP,HBSTP
8.73,GMHTP,NLBTP
7.94,GMHTP,BANTP
5.66,GMHTP,CZATP
0.38,GMHTP,GBYOR
8.24,GMHTP,GHGTP
