"rel_time_event","event_prob","strata"
0,0.857142857142857,"r_age_group_posttxp=0-17, time_to_fail_group=[0-.5y)  "
0.6438,1,"r_age_group_posttxp=0-17, time_to_fail_group=[0-.5y)  "
0,0.5,"r_age_group_posttxp=0-17, time_to_fail_group=[0.5y-1y)"
0.9358,0.666666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[0.5y-1y)"
0.9486,0.833333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[0.5y-1y)"
0.9847,1,"r_age_group_posttxp=0-17, time_to_fail_group=[0.5y-1y)"
0,0.125,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.2049,0.25,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.8534,0.375,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.8658,0.5,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.931,0.625,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.9729,0.75,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.9982,0.875,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0.9991,1,"r_age_group_posttxp=0-17, time_to_fail_group=[1y-2y)  "
0,0.0666666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.0188,0.133333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.124,0.2,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.2082,0.266666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.3266,0.333333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.3837,0.4,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.4105,0.466666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.4681,0.533333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.5413,0.6,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.6454,0.666666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.6969,0.733333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.9157,0.8,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.9628,0.866666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.9942,0.933333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0.9993,1,"r_age_group_posttxp=0-17, time_to_fail_group=[2y-5y)  "
0,0.166666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0.0691000000000001,0.333333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0.0694,0.5,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0.7489,0.666666666666667,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0.9231,0.833333333333333,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0.9484,1,"r_age_group_posttxp=0-17, time_to_fail_group=5y+      "
0,0.75,"r_age_group_posttxp=18-39, time_to_fail_group=[0-.5y)  "
0.5379,0.8125,"r_age_group_posttxp=18-39, time_to_fail_group=[0-.5y)  "
0.8282,0.875,"r_age_group_posttxp=18-39, time_to_fail_group=[0-.5y)  "
0.8995,0.9375,"r_age_group_posttxp=18-39, time_to_fail_group=[0-.5y)  "
0.9679,1,"r_age_group_posttxp=18-39, time_to_fail_group=[0-.5y)  "
0,0.444444444444444,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0.3368,0.555555555555556,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0.9742,0.666666666666667,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0.9763,0.777777777777778,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0.9766,0.888888888888889,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0.9974,1,"r_age_group_posttxp=18-39, time_to_fail_group=[0.5y-1y)"
0,0.678571428571429,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.0392,0.714285714285714,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.3374,0.75,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.5349,0.785714285714286,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.5362,0.821428571428571,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.8483,0.857142857142857,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.8565,0.892857142857143,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.9269,0.928571428571429,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.9328,0.964285714285714,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0.972,1,"r_age_group_posttxp=18-39, time_to_fail_group=[1y-2y)  "
0,0.307692307692308,"r_age_group_posttxp=18-39, time_to_fail_group=[2y-5y)  "
0.0275,0.326923076923077,"r_age_group_posttxp=18-39, time_to_fail_group=[2y-5y)  "
0.052,0.346153846153846,"r_age_group_posttxp=18-39, time_to_fail_group=[2y-5y)  "
0.0534,0.365384615384616,"r_age_group_posttxp=18-39, time_to_fail_group=[2y-5y)  "
